timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c
6554317,260,24,17428,-107,147,-72,24.4829
6576014,256,52,17240,-92,158,-70,24.53
6597703,236,72,17060,-118,133,-88,24.53
6619389,260,112,17104,-100,165,-117,24.3418
6641074,256,108,17320,-110,127,-48,24.53
6662773,244,28,17400,-115,134,-24,24.53
6684467,268,88,17204,-133,136,-40,24.4829
6706148,288,20,17364,-123,139,-61,24.4829
6727833,152,40,17376,-99,152,-68,24.4829
6749516,368,32,17328,-108,128,-17,24.4829
6771230,244,12,17156,-99,137,-87,24.4829
6792933,272,96,17376,-132,175,-67,24.4829
6814623,336,176,17120,-99,152,-34,24.4829
6836310,248,-4,17164,-106,132,-67,24.4359
6857996,192,-8,17436,-114,152,-52,24.53
6879682,240,72,17384,-104,124,-50,24.53
6901367,328,20,17196,-111,147,-49,24.53
6923052,260,0,17296,-111,178,-39,24.4829
6944752,300,104,17312,-96,139,-41,24.4829
6966448,352,28,17224,-121,143,-34,24.3888
6988143,236,104,17292,-122,163,-28,24.4829
7009853,188,28,17336,-106,164,-60,24.4359
7031564,248,56,17392,-107,142,-15,24.4359
7053298,280,36,17304,-93,113,-46,24.3888
7075003,300,64,17332,-111,156,-41,24.5771
7096716,296,72,17292,-120,133,-37,24.4829
7118406,352,36,17332,-112,143,-28,24.4359
7140096,212,176,17288,-115,160,-51,24.53
7161790,232,28,17436,-117,165,-11,24.4359
7183480,208,52,17248,-122,149,-67,24.4359
7205177,328,40,17160,-109,147,-61,24.53
7226864,308,28,17248,-112,166,6,24.4829
7248549,196,132,17356,-114,140,-54,24.4829
7270235,280,-12,17220,-111,158,-52,24.5771
7291927,240,88,17248,-94,164,-46,24.5771
7313624,240,44,17228,-111,142,-34,24.3888
7335311,392,16,17236,-96,147,-59,24.4829
7356995,196,16,17344,-103,180,-81,24.4359
7378694,132,84,17380,-118,131,-29,24.53
7400387,200,44,17196,-125,179,-21,24.53
7422095,232,-40,17196,-117,163,-59,24.53
7443786,204,-16,17328,-133,114,-31,24.3888
7465471,400,132,17208,-113,140,-70,24.4829
7487174,360,48,17304,-102,138,-41,24.3888
7508876,312,28,17248,-114,151,-63,24.4829
7530570,260,12,17312,-109,151,-55,24.3888
7552257,228,16,17252,-110,160,-26,24.4829
7573949,268,44,17444,-130,157,-13,24.4359
7595684,208,44,17312,-119,135,-42,24.3888
7617369,292,20,17288,-95,171,-73,24.4829
7639063,260,-16,17192,-123,148,-67,24.4829
7660747,260,72,17384,-121,131,-58,24.5771
7682433,288,40,17348,-108,140,-18,24.5771
7704118,208,80,17268,-99,157,-46,24.5771
7725802,296,8,17372,-126,127,-64,24.4829
7747488,156,16,17520,-119,148,-30,24.53
7769173,344,64,17240,-102,165,-53,24.4359
7790864,184,88,17188,-115,146,-33,24.53
7812558,184,0,17428,-126,139,-28,24.53
7834250,244,68,17392,-118,143,-34,24.53
7855955,272,40,17252,-118,159,-2,24.4829
7877641,256,108,17344,-114,119,-39,24.4829
7899334,316,24,17280,-113,158,-73,24.4829
7921022,292,116,17192,-110,169,-22,24.5771
7942711,224,60,17344,-111,147,-81,24.4829
7964399,284,40,17280,-106,125,-72,24.53
7986085,316,20,17280,-112,149,-60,24.4359
8007770,132,20,17276,-105,178,-52,24.53
8029455,308,-52,17228,-113,146,-60,24.4359
8051140,268,36,17316,-102,148,-47,24.4359
8072831,372,56,17208,-125,193,-63,24.53
8094519,200,76,17328,-103,137,-73,24.4829
8116205,328,48,17320,-103,128,-41,24.4829
8137889,216,-16,17304,-106,133,-40,24.4829
8159574,336,56,17344,-86,126,-56,24.3888
8181260,368,84,17284,-119,138,-49,24.4829
8202946,200,128,17208,-111,168,-36,24.5771
8224630,296,84,17368,-110,120,-25,24.4829
8246315,340,112,17152,-116,164,-47,24.53
8267999,260,-8,17336,-101,150,-81,24.53
8289691,232,-16,17304,-108,151,-84,24.4359
8311390,192,0,17364,-118,127,-72,24.53
8333080,312,112,17092,-118,147,-45,24.4359
8354769,232,64,17124,-102,154,-52,24.4829
8376476,324,96,17184,-121,146,-37,24.4829
8398181,152,-4,17312,-116,136,-33,24.4829
8419867,268,84,17316,-104,134,-57,24.3888
8441567,252,104,17372,-116,141,-63,24.3888
8463274,312,100,17208,-127,118,-81,24.4359
8484967,256,96,17212,-119,157,-14,24.53
8506653,340,-20,17416,-105,137,-60,24.3888
8528387,288,60,17028,-119,132,-67,24.4829
8550079,188,-52,17076,-96,152,-41,24.5771
8571779,188,116,17316,-118,140,-62,24.4359
8593469,220,64,17404,-104,111,-88,24.4359
8615165,308,100,17444,-127,156,-70,24.53
8636890,196,-8,17288,-109,155,-58,24.5771
8658591,316,48,17300,-110,151,-45,24.4829
8680284,300,40,17328,-130,129,-82,24.5771
8701972,324,120,17204,-116,165,-41,24.4829
8723671,200,-72,17200,-104,136,-24,24.4359
8745358,220,136,17340,-123,144,-33,24.53
8767044,316,0,17296,-126,130,-33,24.53
8788730,224,52,17244,-117,147,-84,24.4359
8810417,244,96,17384,-105,130,-33,24.4359
8832103,332,20,17328,-101,164,-33,24.4829
8853788,228,72,17296,-109,151,-53,24.4829
8875473,164,32,17340,-116,136,-34,24.4829
8897158,304,36,17280,-110,160,-23,24.4829
8918843,204,32,17216,-104,149,-59,24.4829
8940529,232,128,17296,-109,161,-8,24.4829
8962213,256,104,17316,-118,137,-8,24.4359
8983898,304,44,17068,-104,168,-30,24.4359
9005583,272,4,17284,-126,137,-29,24.4359
9027268,304,52,17368,-78,139,-28,24.4359
9048953,280,8,17360,-98,143,-46,24.4359
9070643,248,48,17392,-91,164,-50,24.4359
9092332,236,88,17288,-100,113,-51,24.5771
9114017,280,-20,17228,-108,138,-66,24.4829
9135685,244,60,17280,-87,121,-6,24.4829
9157367,236,-4,17296,-95,146,-60,24.5771
9179054,280,-44,17256,-98,143,-48,24.4829
